Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 46	Columna:99
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 46	Columna:113
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 47	Columna:4
Tipo: BOOL	Lexema: trueno	Linea: 50	Columna:4
Tipo: IDENTIFICADOR	Lexema: _pruebaAsignaciones_	Linea: 50	Columna:11
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 50	Columna:32
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 50	Columna:43
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 50	Columna:56
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 52	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 52	Columna:16
Tipo: LIT_INTEGER	Lexema: 453	Linea: 52	Columna:24
Tipo: NEGATIVO	Lexema: -	Linea: 52	Columna:28
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 52	Columna:30
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 53	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 53	Columna:16
Tipo: LIT_FLOAT	Lexema: 40.53	Linea: 53	Columna:24
Tipo: NEGATIVO	Lexema: -	Linea: 53	Columna:30
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 53	Columna:32
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 54	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 54	Columna:16
Tipo: LIT_BOOL	Lexema: true	Linea: 54	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 54	Columna:29
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 55	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 55	Columna:16
Tipo: LIT_CHAR	Lexema: 'A'	Linea: 55	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 55	Columna:28
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 56	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 56	Columna:16
Tipo: LIT_STRING	Lexema: "hola"	Linea: 56	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 56	Columna:31
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 59	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 59	Columna:16
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 59	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 59	Columna:31
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 60	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 60	Columna:16
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 60	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 60	Columna:30
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 61	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 61	Columna:16
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 61	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 61	Columna:31
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 62	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 62	Columna:16
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 62	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 62	Columna:31
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 63	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 63	Columna:16
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 63	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 63	Columna:31
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 66	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 66	Columna:16
Tipo: LIT_INTEGER	Lexema: 3	Linea: 66	Columna:24
Tipo: INCREMENTO	Lexema: quien	Linea: 66	Columna:26
Tipo: SUMA	Lexema: navidad	Linea: 66	Columna:32
Tipo: LIT_INTEGER	Lexema: 4	Linea: 66	Columna:40
Tipo: DECREMENTO	Lexema: grinch	Linea: 66	Columna:42
Tipo: MULTIPLICACION	Lexema: nochebuena	Linea: 66	Columna:49
Tipo: LIT_INTEGER	Lexema: 93	Linea: 66	Columna:60
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 66	Columna:63
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 67	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 67	Columna:16
Tipo: LIT_INTEGER	Lexema: 4	Linea: 67	Columna:24
Tipo: DECREMENTO	Lexema: grinch	Linea: 67	Columna:26
Tipo: MULTIPLICACION	Lexema: nochebuena	Linea: 67	Columna:33
Tipo: LIT_FLOAT	Lexema: 1.5	Linea: 67	Columna:44
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 67	Columna:48
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 68	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 68	Columna:16
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 68	Columna:24
Tipo: LIT_INTEGER	Lexema: 4	Linea: 68	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 68	Columna:37
Tipo: IGUALDAD	Lexema: mary	Linea: 68	Columna:50
Tipo: LIT_FLOAT	Lexema: 3.1	Linea: 68	Columna:55
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 68	Columna:59
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 69	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 69	Columna:16
Tipo: IDENTIFICADOR	Lexema: _guau_	Linea: 69	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 69	Columna:31
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 70	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 70	Columna:16
Tipo: LIT_BOOL	Lexema: true	Linea: 70	Columna:24
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 70	Columna:29
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 73	Columna:8
Tipo: ASIGNACION	Lexema: entrega	Linea: 73	Columna:16
Tipo: READ	Lexema: escucha	Linea: 73	Columna:24
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 73	Columna:32
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 73	Columna:43
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 73	Columna:56
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 76	Columna:8
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 76	Columna:16
Tipo: LIT_INTEGER	Lexema: 3	Linea: 76	Columna:28
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 76	Columna:30
Tipo: ASIGNACION	Lexema: entrega	Linea: 76	Columna:44
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 76	Columna:52
Tipo: LIT_INTEGER	Lexema: 1	Linea: 76	Columna:64
Tipo: COMA	Lexema: ,	Linea: 76	Columna:65
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 76	Columna:67
Tipo: COMA	Lexema: ,	Linea: 76	Columna:74
Tipo: LIT_INTEGER	Lexema: 3	Linea: 76	Columna:76
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 76	Columna:78
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 76	Columna:92
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 77	Columna:8
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 77	Columna:16
Tipo: LIT_INTEGER	Lexema: 5	Linea: 77	Columna:28
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 77	Columna:30
Tipo: ASIGNACION	Lexema: entrega	Linea: 77	Columna:44
Tipo: CORCHETE_A	Lexema: abreempaque	Linea: 77	Columna:52
Tipo: LIT_CHAR	Lexema: 'a'	Linea: 77	Columna:64
Tipo: COMA	Lexema: ,	Linea: 77	Columna:67
Tipo: IDENTIFICADOR	Lexema: _perro_	Linea: 77	Columna:69
Tipo: COMA	Lexema: ,	Linea: 77	Columna:76
Tipo: LIT_CHAR	Lexema: 'c'	Linea: 77	Columna:78
Tipo: COMA	Lexema: ,	Linea: 77	Columna:81
Tipo: LIT_CHAR	Lexema: 'd'	Linea: 77	Columna:83
Tipo: COMA	Lexema: ,	Linea: 77	Columna:86
Tipo: LIT_CHAR	Lexema: 'e'	Linea: 77	Columna:88
Tipo: CORCHETE_C	Lexema: cierraempaque	Linea: 77	Columna:92
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 77	Columna:106
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 78	Columna:4
Tipo: CHAR	Lexema: cupido	Linea: 81	Columna:4
Tipo: IDENTIFICADOR	Lexema: _pruebaCondicional_	Linea: 81	Columna:11
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 81	Columna:31
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 81	Columna:42
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 81	Columna:55
Tipo: IF	Lexema: elfo	Linea: 82	Columna:8
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 82	Columna:13
Tipo: LIT_INTEGER	Lexema: 2	Linea: 82	Columna:24
Tipo: MENOR	Lexema: snowball	Linea: 82	Columna:26
Tipo: LIT_INTEGER	Lexema: 3	Linea: 82	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 82	Columna:37
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 82	Columna:50
Tipo: LIT_INTEGER	Lexema: 4	Linea: 83	Columna:12
Tipo: DELIMITADOR	Lexema: finregalo	Linea: 83	Columna:14
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 84	Columna:8
Tipo: BLOQUE_C	Lexema: cierracuento	Linea: 85	Columna:4
Tipo: CHAR	Lexema: cupido	Linea: 88	Columna:4
Tipo: IDENTIFICADOR	Lexema: _pruebaCondicionalElse_	Linea: 88	Columna:11
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 88	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 88	Columna:46
Tipo: BLOQUE_A	Lexema: abrecuento	Linea: 88	Columna:59
Tipo: IF	Lexema: elfo	Linea: 89	Columna:8
Tipo: PARENTESIS_A	Lexema: abreregalo	Linea: 89	Columna:13
Tipo: LIT_INTEGER	Lexema: 2	Linea: 89	Columna:24
Tipo: MENOR	Lexema: snowball	Linea: 89	Columna:26
Tipo: LIT_INTEGER	Lexema: 3	Linea: 89	Columna:35
Tipo: PARENTESIS_C	Lexema: cierraregalo	Linea: 89	Columna:37
